,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
54,Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013252,0,0.2238298,0,0,0,0.2769,0.025449,0,0,0.070001,0.05,0,0,0,0,0,
55,"Gelatinous zoop",0,0,0,0,0,5.899995E-05,0.008033001,0.003404003,0,0,0,0,0,0,0,0,0.002145868,0.0005559995,0.0001699998,0,0.0001759998,0.010475,0,0.004026996,0.273597,0.025964,0.001675,0,0.003102,0,0.001789998,0.007693008,0.00371,0,0,0,0,0.001311999,0.001382,0,0,0.001571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,Macrozoop,0.726929,0,0,0.315373,0,0,0.6071391,0.3532963,0.05709393,0.05709393,0.753288,0.739995,0.113508,0.4266994,0.05225594,0.05225594,0.4432664,0.5240815,0.4703945,0.07535792,0.4567336,0.124971,0.3669736,0.3125047,0.23311,0.871389,0.733914,0.163721,0.504933,0.03966104,0.01397099,0.1767202,0.166314,0.4008156,0.3904336,0.877033,0.877033,0.4149986,0.717669,0,0.4400224,0.890893,0,0,0,0.123605,0,0,0,0,0,0.039305,0,0,0.161448,0.055941,0,0,0,
57,Mesozoop,0.050637,0,0,0,0,0,0.020215,0.001019001,0.0003379996,0.0003379996,0.02115,0.027914,0.003136,0,0,0,0.05789468,0.006939994,0.004794995,0.0004439995,0.004320996,0.003023,0.1637468,0.004821995,2.4E-05,0.00875,0.013627,0.07921401,0.003637,0.1186091,0.03188697,0.1496951,0.053398,0.009821991,0.00956999,0.028782,0.028782,0.4740715,0.213555,1,0.01041601,0,0,0,0,0.244326,0,0,0,0,0,0.035968,0,0,0.696038,0.47728,0.058572,0,0,
58,Microzoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026305,0,0,0.095929,0.11221,0.161911,0.099731,0,
59,Microflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02719697,0.008578,0.04999995,0.095,0,0,0,0.070066,0,0,0.005032,0.015172,0.076645,0.202492,0,
60,Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002626997,0,0,0,0,0,0,0,0.069225,0.4222216,0.882656,0,0,0,0.61037,0,0,0.041553,0.127274,0.702872,0.209335,0,
61,Discards,0,0.005316995,0,0.0005529983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002142,0.003547,0.005332995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087293,0,0.4476616,0.534461,0.5277785,0.022344,0.2769,0.967051,0.956227,0.217986,0.839998,0.95,0,0.212123,0,0.488442,1,
,Import,0,0,0,0.2077324,0,0.0008439992,0,0,0,0,0,0.014247,0,0,0.0917349,0.0917349,0.1017964,0.0007359993,0.008602991,0.0001649998,0,0,0,0,0.004536,0.00649,0,0,0,0.06774706,0.1117719,0,0,0,0,0,0,0.007278992,0,0,0,0,0.051736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Sum,1,1,1,0.9999999,0.9999998,1,1,1,0.9999999,0.9999999,1,1,0.9999999,1,0.9999999,0.9999999,0.9999999,1,0.9999999,0.9999999,1,1,1,1,0.9999999,1,0.9999999,1,1,1,1,1,1,0.9999999,0.9999999,1,1,0.9999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,"(1 - Sum)",0,0,0,5.960464E-08,1.788139E-07,-1.192093E-07,-1.192093E-07,0,1.192093E-07,1.192093E-07,-1.192093E-07,0,5.960464E-08,0,5.960464E-08,5.960464E-08,1.192093E-07,-1.192093E-07,1.192093E-07,1.192093E-07,0,-1.192093E-07,0,0,1.192093E-07,0,5.960464E-08,-1.192093E-07,0,0,0,0,0,5.960464E-08,1.192093E-07,0,0,5.960464E-08,0,0,0,0,0,0,-1.192093E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
